item,count,stddev,mean
377,70,0.8340943273012348,3.481047480446952
378,70,0,0
379,70,0,0
380,70,0.7601906046230765,3.7770364454814365
381,70,0,0
382,70,0,0
383,70,0,0
392,70,0,0
393,70,0,0
405,70,0,0
410,70,0,0
412,70,1.0879869958844963,3.6772457122802735
413,70,0,0
415,70,0,0
416,70,0,0
418,70,0,0
419,70,0,0
420,70,0,0
421,70,0,0
423,70,0,0
424,70,0,0
425,70,0,0
427,70,0,0
428,70,0,0
429,70,1.3662841380994193,3.7103201150894165
431,70,1.060754569374863,3.734355562073844
432,70,0,0
434,70,0,0
435,70,0.7442079223453173,3.5994164858545576
436,70,0,0
437,70,0,0
440,70,0,0
441,70,0.6783574868980193,3.789898259299142
442,70,1.055458234891306,3.3723342333521162
445,70,0,0
446,70,0,0
447,70,0,0
448,70,0,0
449,70,0,0
450,70,1.0417193653436094,3.7408122641699655
451,70,0,0
453,70,0,0
454,70,1.2581430072988822,3.5247962491852896
455,70,0,0
456,70,0,0
457,70,0.6458936039422748,3.8115963901792256
459,70,0,0
461,70,0,0
463,70,0,0
465,70,0,0
466,70,0.6240603468619311,3.830000638961792
467,70,0,0
468,70,0,0
469,70,0,0
471,70,0,0
472,70,0,0
473,70,0,0
474,70,0.8214147896495195,3.677140739985875
475,70,0,0
476,70,0,0
480,70,1.215027421950672,3.6623933332306997
481,70,0,0
482,70,0,0
485,70,0,0
486,70,0,0
487,70,0,0
489,70,0,0
490,70,0,0
491,70,0,0
492,70,0.7312924894008979,3.7895738635744367
493,70,0,0
494,70,0,0
496,70,0,0
497,70,0.6564266181597143,3.8641559856278556
498,70,0,0
499,70,0,0
500,70,0.6412216338568053,3.6213803052902223
501,70,0,0
503,70,0,0
506,70,0,0
507,70,0,0
508,70,0,0
509,70,0.66569286350307,3.8763071400778633
510,70,0,0
511,70,0,0
513,70,0,0
514,70,0,0
515,70,0.6464606780649709,3.7942960619926454
516,70,0,0
517,70,0,0
518,70,0,0
519,70,0,0
520,70,0,0
521,70,0.535785140177877,3.968431728226798
522,70,0,0
524,70,1.0732375018376212,3.4793223551341463
527,70,1.1314489752028678,3.988177626473563
528,70,0,0
529,70,1.010652281886359,3.7224969370024543
531,70,1.3158598726930146,3.7298871312822612
532,70,0.9571646546507921,3.687605971949441
533,70,0,0
534,70,0,0
538,70,0,0
539,70,0.6855869869595825,3.6691346747534617
540,70,0,0
541,70,0,0
542,70,0,0
543,70,0.7401264967175344,3.6991930195263456
546,70,0,0
550,70,0,0
551,70,0.9664962470471601,3.8110996007919313
552,70,0,0
553,70,0,0
555,70,0,0
556,70,0,0
561,70,0,0
562,70,0.773522655200148,3.839000579289028
565,70,0,0
566,70,0,0
569,70,0,0
571,70,0,0
575,70,0,0
580,70,0,0
581,70,0.7965441465242864,3.8943627766200475
585,70,1.1311910931925142,3.849973702430725
586,70,1.1533478563352573,3.6136863912854875
587,70,0.9797336094179404,3.5467912776129586
588,70,0.6191074843437285,3.7239499296460834
589,70,0.634865224620674,4.0186102526528495
590,70,0.8051481917233377,3.8089449541909355
592,70,0.6251063233801184,3.687122688974653
593,70,0.8705544806432012,3.8857617105756486
594,70,0.612513093027901,3.932415917941502
595,70,0.8906961460826776,3.7611534816878183
596,70,0.9780322406454409,3.963360791546958
597,70,0.7456890865219156,3.7371532576424733
599,70,0,0
605,70,0,0
608,70,0.7996996155423027,3.9155709607260567
609,70,0,0
610,70,0.6546198856276765,3.773713563169752
611,70,0,0
612,70,0,0
615,70,0,0
616,70,0,0
617,70,0,0
628,70,0,0
630,70,0,0
633,70,0,0
637,70,0,0
640,70,0,0
647,70,0,0
648,70,1.0803338101207347,3.5529183217457363
650,70,0,0
653,70,0.9258686336227423,3.5842497825622557
659,70,0,0
661,70,0.7438571187629414,3.8127538646970476
663,70,0,0
664,70,0,0
671,70,1.1616764798556167,3.8830126575061255
673,70,0,0
674,70,0.5054015941879575,3.9137853622436523
678,70,0,0
688,70,0,0
691,70,0,0
694,70,0,0
695,70,0,0
697,70,0,0
707,70,0,0
708,70,0.7742011570437599,3.821931973525456
714,70,0,0
718,70,0,0
719,70,1.0978434279035487,3.7250079546655925
720,70,1.009583354360987,3.7236916814531598
724,70,0,0
728,70,0,0
733,70,0.8821168072182859,3.7480108380317687
735,70,0,0
736,70,0.7746164928108139,3.704776430130005
737,70,0,0
741,70,0.659450326840806,3.9559272561754497
743,70,0,0
745,70,0.9579575188022529,3.6217481562069485
748,70,0,0
750,70,0.956537662196503,4.039066464560372
753,70,0,0
762,70,0,0
764,70,0,0
765,70,0.9820714773828656,3.621076570238386
766,70,0,0
771,70,0,0
778,70,0,0
779,70,0,0
780,70,0.9652879872507126,3.5568779843194145
782,70,0,0
783,70,0,0
784,70,0,0
785,70,0,0
786,70,0,0
788,70,0.8314292731936828,3.5287355286734443
798,70,0,0
799,70,0.549939802312844,3.859953914369856
800,70,0,0
802,70,0.8874576588041002,3.574918590273176
803,70,0,0
804,70,0,0
805,70,0,0
806,70,0,0
813,70,0,0
818,70,1.2680094823901384,3.8456590703555515
824,70,0,0
829,70,0,0
830,70,0.8920486043458818,3.7900051985468184
832,70,0.5073821728537924,3.7810322420937674
833,70,0,0
835,70,0,0
836,70,0,0
837,70,0,0
838,70,0.6433957641150787,3.825909652028765
839,70,0,0
842,70,0,0
846,70,0,0
847,70,0,0
848,70,0,0
849,70,0,0
852,70,0,0
858,70,1.129823367555751,3.810849360057286
860,70,0,0
861,70,0,0
863,70,0,0
866,70,0.6849147980422894,3.8752290419169833
879,70,1.29750872782722,3.3136405297688074
880,70,0.6430199715283239,3.847615875516619
886,70,0,0
891,70,0,0
893,70,0,0
896,70,0,0
897,70,0,0
898,70,0,0
899,70,0,0
900,70,0,0
901,70,0,0
902,70,1.141434149761179,3.7476593886102947
903,70,0.6345156969022756,3.93411043541772
904,70,0.7882117950549192,3.8626781344413756
905,70,0,0
906,70,0,0
907,70,0,0
908,70,0.6678150487081482,4.035041332244873
909,70,0,0
910,70,0,0
911,70,0,0
912,70,1.1713646508632298,3.921555781364441
913,70,0,0
914,70,0.7809087814389143,3.6799870593207222
915,70,0,0
916,70,0,0
918,70,0,0
919,70,0.575596607419805,3.9975150040217806
920,70,0.6909987629089819,3.8727312462670462
921,70,0,0
922,70,0,0
923,70,0,0
924,70,0.6846159697915625,3.8689619404929023
926,70,1.1998456224511824,3.7053303922925678
927,70,0,0
928,70,0,0
929,70,0,0
930,70,0,0
931,70,0,0
932,70,0,0
933,70,0,0
934,70,0,0
937,70,0,0
938,70,0,0
940,70,0,0
942,70,0,0
943,70,0,0
945,70,0,0
946,70,0,0
947,70,0,0
948,70,0,0
949,70,0,0
950,70,0,0
951,70,0,0
952,70,0,0
953,70,0.7312133224847257,3.9669002158301216
954,70,0,0
955,70,0,0
956,70,0,0
957,70,0,0
959,70,0,0
960,70,0,0
961,70,0,0
963,70,0,0
965,70,0,0
968,70,0.6297673663868146,3.8244850090571814
969,70,1.0162191855666456,3.753105296407427
971,70,0,0
973,70,0,0
974,70,0,0
976,70,0,0
978,70,0,0
982,70,0,0
986,70,0,0
991,70,0,0
994,70,0.6343923534261545,3.92162812267031
996,70,0,0
999,70,0,0
1003,70,0,0
1005,70,0,0
1007,70,0,0
1009,70,0.6939485852463589,3.6991024902888707
1010,70,0,0
1011,70,0,0
1012,70,0,0
1013,70,0,0
1014,70,0,0
1015,70,0,0
1016,70,0,0
1017,70,0,0
1018,70,0,0
1019,70,0.8074954220344162,3.6889559609549387
1020,70,1.0483206462310861,3.5192046625273568
1021,70,0,0
1022,70,0.7465806736677786,3.932062019620623
1023,70,0,0
1025,70,0,0
1027,70,0,0
1028,70,0.7054679304326517,3.904762387275696
1029,70,0.5327102574112181,3.8803247451782226
1030,70,0.7473389047840401,3.8987838404519217
1031,70,0,0
1032,70,0,0
1033,70,0,0
1034,70,0,0
1035,70,0.6889419548077479,3.807864383288792
1036,70,1.2126460259381224,3.6868236814226423
1037,70,0,0
1041,70,0,0
1042,70,0,0
1043,70,0,0
1046,70,0,0
1047,70,0,0
1049,70,0,0
1050,70,0,0
1051,70,0,0
1054,70,0,0
1057,70,0,0
1059,70,0,0
1060,70,0.8427542499695881,3.8904984065464565
1061,70,0,0
1064,70,0,0
1066,70,0,0
1069,70,0,0
1073,70,0.6496502979177023,3.9128969379833767
1077,70,0.930260394861357,3.8263539450509207
1078,70,0,0
1079,70,0.9781874892376812,3.583684711796897
1080,70,1.128588905578945,3.6719409704208372
1081,70,0,0
1082,70,0,0
1083,70,0,0
1084,70,1.0448549677235062,3.709230560915811
1085,70,0,0
1086,70,0,0
1088,70,0.8211400480282113,3.7932255370276313
1089,70,0.8198595831389607,3.762655871255057
1090,70,0.577049165629676,3.8404158115386964
1091,70,0,0
1092,70,1.140068758211416,3.752469037260328
1093,70,0,0
1094,70,1.27796494420048,3.494022868360792
1095,70,0.8970270155119469,3.6900692871638707
1096,70,0,0
1097,70,1.059512381242832,3.7620909265109472
1099,70,0,0
1100,70,0.5528339138580388,4.016370991298131
1101,70,0.7015289553604593,3.723555724961417
1102,70,0,0
1103,70,0.6852026885227193,3.917873236111232
1104,70,0,0
1120,70,0,0
1124,70,0,0
1125,70,0,0
1126,70,0.7438953546691439,3.7312433549336026
1127,70,1.1704405252573808,3.603092770917075
1129,70,0.5226687067587646,3.8342171498707365
1130,70,0,0
1135,70,0,0
1136,70,0.8870231349551908,3.8200422951153348
1147,70,0,0
1148,70,0.9332066894954412,3.7825801372528076
1152,70,0,0
1161,70,0,0
1162,70,0,0
1171,70,0,0
1172,70,0,0
1173,70,0,0
1175,70,0,0
1176,70,0,0
1177,70,0,0
1179,70,0.6171901910738591,3.9031482253755843
1180,70,0,0
1183,70,0,0
1184,70,0,0
1185,70,0,0
1186,70,0.9298056382812976,3.656493275506156
1188,70,1.1906496230348715,3.522484508582524
1189,70,0,0
1190,70,0,0
1191,70,0,0
1192,70,0,0
1193,70,0.7419906882133281,3.8563171182359968
1196,70,0.9974369127455132,3.947734039170401
1197,70,0.8151424932273912,3.9595371552876064
1198,70,0.9280400221985299,4.140547840935843
1199,70,0.6432147500844753,3.9181266410010203
1200,70,0.5739881800522584,3.852031809943063
1201,70,1.0564258164008848,3.7455395562308174
1203,70,0,0
1204,70,0,0
1205,70,0,0
1206,70,0.6056132049798757,4.017615352358137
1207,70,0.8041839710932938,3.988927473340716
1208,70,0.5805612694730937,3.7904450689043316
1209,70,0,0
1210,70,1.1545859966028755,3.6474575281143187
1211,70,0,0
1212,70,0.8407985972587475,3.8887961830411637
1213,70,0.8997796760504312,3.775516288621085
1214,70,0.7138075985045452,3.7835033927645
1215,70,0.7745306657878285,3.7532021829060147
1216,70,0,0
1217,70,0,0
1218,70,0,0
1219,70,0.7206819278023637,3.828003934451512
1220,70,0.8902204513078334,3.838328061785017
1221,70,1.0818844063549975,3.7029674751417976
1222,70,0.5679046793449327,3.895150818143572
1223,70,0,0
1224,70,0,0
1225,70,1.1666772479041123,3.8806816407612392
1226,70,0,0
1227,70,0,0
1228,70,0,0
1230,70,1.2320520759716111,3.6554903541292463
1231,70,0,0
1233,70,0,0
1234,70,0,0
1235,70,0,0
1237,70,0,0
1240,70,0.7379149595777172,4.01509826523917
1241,70,0,0
1242,70,0,0
1243,70,0,0
1244,70,0.6289398356373103,3.8846328360693794
1245,70,0,0
1246,70,0.5539742764678022,3.943220019340515
1247,70,0.9082522420656288,3.811879871572767
1248,70,0,0
1249,70,0.6938696164890782,3.8305423089436124
1250,70,1.0558011839578012,3.8527579886572703
1251,70,0,0
1252,70,0,0
1253,70,1.0412809565179364,3.5818175980022975
1254,70,0,0
1256,70,0,0
1257,70,0,0
1258,70,0.6899878222592063,3.834508434363774
1259,70,0.8907663737819326,3.864185106754303
1261,70,0.7362737332547306,3.794911653654916
1262,70,1.1791773349236072,3.5758027604648044
1263,70,0,0
1264,70,0,0
1265,70,0.8516535583191481,3.748993248598916
1266,70,0.6676506455664453,3.7216160774230955
1267,70,0.7810659841083303,4.0266120944704324
1268,70,0.5608059568561519,3.856288204874311
1269,70,0,0
